연번,시도,시군구,시설명,시설유형,시설종류,입소정원,영업상태,주소,전화번호
1,대전광역시,동구,With 다솜요양원,노인의료복지시설,노인요양시설,49,운영,대전광역시 동구 우암로 234 (가양동),042-639-6061
2,대전광역시,동구,가로수노인전문요양원,노인의료복지시설,노인요양시설,29,운영,대전광역시 동구산내로1287번길59-12 (낭월동),042-285-3800
3,대전광역시,동구,가원요양원,노인의료복지시설,노인요양시설,28,운영,대전광역시 동구 우암로 351 (가양동),042-625-2904
4,대전광역시,동구,가은실버홈,노인의료복지시설,노인요양시설,9,운영,대전광역시 동구 동중앙로 108-3 (자양동),042-626-7558
5,대전광역시,동구,금성노인요양원,노인의료복지시설,노인요양시설,118,운영,대전광역시 동구 산내로560번길 18-13 (상소동),042-274-4700
6,대전광역시,동구,나날요양원,노인의료복지시설,노인요양시설,89,운영,대전광역시 동구 태전로 5 (중동),042-226-7575
7,대전광역시,동구,다복노인요양원,노인의료복지시설,노인요양시설,18,운영,대전광역시 동구 계족로 316 (성남동),042-638-0717
8,대전광역시,동구,대전노인요양원,노인의료복지시설,노인요양시설,108,운영,대전광역시 동구 신기로 109-22 (가오동),042-283-6304
9,대전광역시,동구,대전실버빌,노인의료복지시설,노인요양공동생활가정,8,운영,대전광역시 동구 용운로147번길 9-7 (용운동),042-272-0999
10,대전광역시,동구,대전실버요양원,노인의료복지시설,노인요양시설,29,운영,대전광역시 동구 대전로316번길 43 (대성동),042-285-0025
11,대전광역시,동구,그린실버홈,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 대별로 26-49 (대별동),042-274-4009
12,대전광역시,동구,더편한요양원,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 산내로 986-7 (삼괴동),042-274-9488
13,대전광역시,동구,밝은요양원,노인의료복지시설,노인요양시설,96,운영,대전광역시 동구 대전로 354-7 (대성동),042-286-2863
14,대전광역시,동구,산내노인종합센터,노인의료복지시설,노인요양시설,20,운영,대전광역시 동구 산내로1287번길 73 (낭월동),042-285-6800
15,대전광역시,동구,새빛사랑의집,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 산내로 960 (삼괴동),042-321-8118
16,대전광역시,동구,에덴노인요양원,노인의료복지시설,노인요양공동생활가정,9,운영,대전광역시 동구 산내로 237 (하소동),042-286-9191
17,대전광역시,동구,예명요양원,노인의료복지시설,노인요양공동생활가정,7,운영,"대전광역시 동구 동부로73번길 6, 5층 (판암동)",042-283-2015
