연번,시설종류,종류내 시설,시 설 명,소재지 도로명주소,소재지 지번주소,우편번호,정원수,법인명,전화번호
1,주거복지시설,양로시설,은혜양로원,대전광역시 중구 단재로 471 (어남동) ,대전광역시 중구 어남동 85,35086,125,은혜복지재단,042-285-2113
2,주거복지시설,노인공동생활가정,주사랑의 집,대전광역시 중구 유천로18번길 66 (유천동) ,대전광역시 중구 유천2동 141-23,34972,7,,042-582-5048
3,주거복지시설,노인공동생활가정,성심의 집,대전광역시 중구 충무로15번길 76 (대흥동) ,대전광역시 중구 대흥동 286-5,34943,9,재속프란치스코회,042-226-4406
4,의료복지시설 ,노인요양시설,실버랜드,대전광역시 중구 단재로 426-58 (어남동) ,대전광역시 중구 어남동 59,35086,100,선아복지재단,042-285-7391
5,의료복지시설 ,노인요양시설,한사랑노인전문요양원,대전광역시 중구 대종로 203 (석교동) ,대전광역시 중구 석교동 65-3,35061,40,,042-286-8855
6,의료복지시설 ,노인요양시설,새출발 축복의집 노인요양원,대전광역시 중구 사득로 22-1 (부사동) ,대전광역시 중구 부사동 414-2,35047,29,,042-256-3756
7,의료복지시설 ,노인요양시설,푸른노인요양원,대전광역시 중구 천근로 34 (문화동) ,대전광역시 중구 문화2동 480-10,35005,75,,042-584-7501
8,의료복지시설 ,노인요양시설,대전보건대학교이안요양원,"대전광역시 중구 대종로 468, 2,3,5층 (대흥동) ","대전광역시 중구 대흥동 153-5. (2, 3, 5층)",34925,99,학교법인 청운학원,042-670-9651
9,의료복지시설 ,노인요양시설,남대전요양원,대전광역시 중구 대종로 185 (석교동) ,대전광역시 중구 석교동 96-3,35063,63,,042-282-0070
10,의료복지시설 ,노인요양시설,선한이웃노인요양원,대전광역시 중구 당골길 207-17 (금동) ,대전광역시 중구 금동 442,35086,38,선한이웃재단,042-286-8468
11,의료복지시설 ,노인요양시설,대전성모케어센터,대전광역시 중구 테미로 51-12 (대흥동) ,대전광역시 중구 대흥동 513-4,34942,44,재단법인대전교구천주교회유지재단,042-220-6900
12,의료복지시설 ,노인요양시설,범골요양원,대전광역시 중구 범골로 99 (호동) ,대전광역시 중구 호동 147-3,35071,21,한사랑복지재단,042-271-7171
13,의료복지시설 ,노인요양시설,축복마을,대전광역시 중구 단재로 471 (어남동) ,대전광역시 중구 어남동 85,35086,118,은혜복지재단,042-284-2113
14,의료복지시설 ,노인요양시설,늘사랑요양원,대전광역시 중구 성산로 28 (안영동) ,대전광역시 중구 안영동 648-9,35083,49,,042-583-7282
15,의료복지시설 ,노인요양시설,세종노인요양원,대전광역시 중구 성산로14번길 16 (안영동) ,대전광역시 중구 안영동 651-4,35083,26,,042-583-9988
16,의료복지시설 ,노인요양시설,평화가득함요양원,대전광역시 중구 오류로 111 (오류동) ,대전광역시 중구 오류동 190-10,34871,85,평화가득함,042-525-9101
17,의료복지시설 ,노인요양시설,베스타요양원,대전광역시 중구 충무로 163-1 (문창동) ,대전광역시 중구 문창동 55-11,34930,85,,042-255-0555
18,의료복지시설 ,노인요양시설,세일요양원,대전광역시 중구 대종로 289(부사동),대전광역시 중구 부사동 154-10,35048,40,,042-252-1800
19,의료복지시설 ,노인요양시설,보문요양원,대전광역시 중구 보문산로179(문화동),대전광역시 중구 문화동 583-12,35008,49,,042-585-8428
20,의료복지시설 ,노인요양시설,노블케어요양원,"대전광역시 중구 대종로550번길 5,2층(선화동)","대전광역시 중구 대종로550번길 5,2층(선화동)",34831,29,,042-223-5500
21,의료복지시설,노인요양공동생활가정,보문현대실버홈,대전광역시 중구 봉소루로 22 (석교동) ,대전광역시 중구 석교동 192-8,35059,9,,042-272-5388
22,의료복지시설,노인요양공동생활가정,평강의집,대전광역시 중구 봉소루로54번길 21 (석교동) ,대전광역시 중구 석교동 19-2,35062,9,,042-284-3005
23,의료복지시설,노인요양공동생활가정,행복한요양원,"대전광역시 중구 대흥로 115, 2층 (대흥동) ","대전광역시 중구 대흥동 447-4, (2층)",34918,9,,070-7722-8833
24,의료복지시설,노인요양공동생활가정,사랑의집 ,대전광역시 중구 돌다리로 47 (석교동) ,대전광역시 중구 석교동 279-6,35064,9,,042-320-6030
25,의료복지시설,노인요양공동생활가정,은총요양원,"대전광역시 중구 산서로17, 2층(사정동)",대전광역시 중구 사정동 459-2,35081,9,,042-584-5416
26,의료복지시설,노인요양공동생활가정,늘기쁨공동생활가정,대전광역시 중구 계백로1646번길 77(유천동),대전광역시 중구 유천동 137-7,34969,9,,042-527-1908
27,의료복지시설,노인요양공동생활가정,국제노인요양원,"대전광역시 중구 문창로 21-21, 1층(부사동)","대전광역시 중구 문창로 21-21, 1층(부사동)",35032,9,,042-252-6789
28,재가노인복지시설,방문서비스,대전노인복지센터,대전광역시 중구 범골로 97 (호동) ,대전광역시 중구 호동 147-1,35071,80,나눔복지재단,042-283-4567
29,재가노인복지시설,방문서비스,이웃사랑재가노인지원서비스센터,대전광역시 중구 문창로 123 (문창동) ,대전광역시 중구 문창동 30-10,34928,0,이웃사랑복지재단,042-222-2190
30,재가노인복지시설,방문서비스,기아대책노인복지센터,대전광역시 중구 선화서로 90-1(선화동),대전광역시 중구 선화동 193-17,34846,0,기아대책,042-254-0841
31,재가노인복지시설,방문서비스,남대전노인복지센터,"대전광역시 중구 보문로 190, 201호 (대흥동) ","대전광역시 중구 대흥동 340-2, 201호",34932,0,,042-273-0002
32,재가노인복지시설,방문서비스,샛별재가노인복지센터,대전광역시 중구 테미로 26 (대흥동) ,대전광역시 중구 대흥동 311-1,34948,0,대한노인회대전광역시연합회,042-224-9988
33,재가노인복지시설,방문서비스,한밭노인복지센터,대전광역시 중구 산서로62번길 1 (사정동) ,대전광역시 중구 사정동 507-2,35074,0,월드복음선교협의회대전중구지부,042-582-9179
34,재가노인복지시설,방문서비스,한빛재가노인복지센터 ,대전광역시 중구 보문로 90-7 (부사동) ,대전광역시 중구 부사동 140-3,35023,0,해빛복지재단,042-254-8866
35,재가노인복지시설,방문서비스,행복플러스노인복지센터,대전광역시 중구 보문로 190 (대흥동) ,대전광역시 중구 대흥동 340-2,34932,0,행복플러스복지재단,042-255-3232
36,재가노인복지시설,주야간보호서비스,은빛노인복지센터,대전광역시 중구 범골로 97 (호동) ,대전광역시 중구 호동 147-1,35071,9,나눔복지재단,042-253-2578
37,재가노인복지시설,주야간보호서비스,실버랜드,대전광역시 중구 단재로 426-58 (어남동) ,대전광역시 중구 어남동 59,35086,100,선아복지재단,042-285-7391
38,재가노인복지시설,주야간보호서비스,만세실버케어센터,대전광역시 중구 오류로 117(오류동),대전광역시 중구 오류동 190-1,34871,34,,042-538-3007
39,여가복지시설,여가복지시설,대전광역시 노인복지회관,대전광역시 중구 테미로 26 (대흥동) ,대전광역시 중구 대흥동 311-1,34948,500,대한노인회대전광역시연합회,042-242-3100
40,(구)여가복지시설,(구)여가복지시설,효문화마을관리원,대전광역시 중구 뿌리공원로 47 (안영동) ,대전광역시 중구 안영동 71-1,35074,200,,042-589-2203
41,의료복지시설,노인요양공동생활가정,국제노인요양원,"대전광역시 중구 문창로 21-21, 1층(부사동)",대전광역시 중구 부사동 100-10,35032,8,,042-252-6789
42,재가노인복지시설,주야간보호서비스,드림 주야간보호센터,"대전광역시 중구 계백로 1715, 6층 601호(오류동,경복궁메디컬파크)",대전광역시 중구 오류동 154-6,34909,37,,042-525-3328
43,재가노인복지시설,주야간보호서비스,효사랑주야간보호센터,"대전광역시 중구 천근로 42, 2층(문화동, 엘림빌딩)",대전광역시 중구 문화동 480-21,35005,37,,042-585-1388
44,재가노인복지시설,주야간보호서비스,행복한주야간보호센터,"대전광역시 중구 대흥로 115, 2층(대흥동)",대전광역시 중구 대흥동 447-4,34918,27,,070-7722-8833
45,재가노인복지시설,주야간보호서비스,돌봄주간보호센터,"대전광역시 중구 계백로 1580, 2층(유천동)",대전광역시 중구 유천동 305-13,34974,40,,042-581-6667
46,재가노인복지시설,방문서비스,"""대전목욕차""노인복지센터","대전광역시 중구 태평로 96, 3층(태평동)",대전광역시 중구 태평동 380-2,34886,0,,042-472-9988
47,재가노인복지시설,주야간보호서비스,대흥동주간노인보호센터,"대전광역시 중구 대흥로 144, 1층(대흥동)",대전광역시 중구 대흥동 174,34934,33,,042-222-0014
48,재가노인복지시설,주야간보호서비스,시니어 통합재가센터,"대전광역시 중구 대둔산로 449,6층(산성동)",대전광역시 중구 산성동 165-5,34988,21,,042-322-2656
49,재가노인복지시설,주야간보호서비스,부사 효 주간보호센터,"대전광역시 중구 대종로 277,3층(부사동)",대전광역시 중구 부사동 260-11,35049,9,,042-226-9983
50,재가노인복지시설,주야간보호서비스,밀알주간보호센터,대전광역시 중구 문화로105번안길 10 (유천동),대전광역시 중구 문화로105번안길 10 (유천동),34974,9,,042-582-0127
