시군구,청년인구,인프라수
서울_종로구,32943,6952
서울_중구,28277,6478
서울_용산구,52554,5655
서울_성동구,67271,5259
서울_광진구,91126,6470
서울_동대문구,80217,5824
서울_중랑구,83722,5266
서울_성북구,94117,6387
서울_강북구,59943,4619
서울_도봉구,61212,4041
서울_노원구,101260,6439
서울_은평구,98566,6586
서울_서대문구,71045,5531
서울_마포구,93492,9825
서울_양천구,84550,5680
서울_강서구,136535,8985
서울_구로구,84959,6559
서울_금천구,56369,4441
서울_영등포구,94917,8602
서울_동작구,97181,5016
서울_관악구,157264,7575
서울_서초구,81935,9915
서울_강남구,108355,18621
서울_송파구,143645,10449
서울_강동구,95519,7478
부산_중구,8049,2412
부산_서구,18425,1999
부산_동구,15455,2338
부산_영도구,16436,2215
부산_진구,75731,8380
부산_동래구,46382,5273
부산_남구,47538,4822
부산_북구,52833,4127
부산_해운대구,68385,8649
부산_사하구,54995,5348
부산_금정구,44260,4604
부산_강서구,23640,3333
부산_연제구,37451,4144
부산_수영구,35665,4367
부산_사상구,40407,3590
부산_기장군,27182,4118
대구_중구,16533,4939
대구_동구,61421,7272
대구_서구,29105,3931
대구_남구,28526,3503
대구_북구,86446,8411
대구_수성구,72909,9102
대구_달서구,107479,10302
대구_달성군,46508,4633
인천_중구,28965,4976
인천_동구,9546,1220
인천_미추홀구,82568,6743
인천_연수구,77245,6398
인천_남동구,101919,8679
인천_부평구,100646,7796
인천_계양구,61450,4437
인천_서구,106515,8359
인천_강화군,7579,2620
인천_옹진군,3526,1161
광주_동구,21164,3868
광주_서구,61222,7947
광주_남구,38492,4235
광주_북구,87062,8836
광주_광산구,82059,8541
대전_동구,41858,4794
대전_중구,42500,5138
대전_서구,104642,10736
대전_유성구,78707,8654
대전_대덕구,33792,4097
울산_중구,37525,4263
울산_남구,64670,8519
울산_동구,26280,3454
울산_북구,41455,3878
울산_울주군,37605,5208
세종시,64602,6672
